Lambda: 1
Epoch: [0/150], Step [100/469], Loss: 57625.1250,  Classification Accuracy: 57.03
Epoch: [0/150], Step [200/469], Loss: 50666.4375,  Classification Accuracy: 67.19
Epoch: [0/150], Step [300/469], Loss: 44266.0117,  Classification Accuracy: 67.97
Epoch: [0/150], Step [400/469], Loss: 41335.2109,  Classification Accuracy: 54.69
Epoch: [1/150], Step [100/469], Loss: 34746.5938,  Classification Accuracy: 65.62
Epoch: [1/150], Step [200/469], Loss: 32389.5625,  Classification Accuracy: 64.06
Epoch: [1/150], Step [300/469], Loss: 30114.5918,  Classification Accuracy: 70.31
Epoch: [1/150], Step [400/469], Loss: 28699.9531,  Classification Accuracy: 64.06
Epoch: [2/150], Step [100/469], Loss: 24901.7383,  Classification Accuracy: 70.31
Epoch: [2/150], Step [200/469], Loss: 23907.4043,  Classification Accuracy: 60.16
Epoch: [2/150], Step [300/469], Loss: 22762.4766,  Classification Accuracy: 67.97
Epoch: [2/150], Step [400/469], Loss: 20947.0527,  Classification Accuracy: 73.44
Epoch: [3/150], Step [100/469], Loss: 19663.4805,  Classification Accuracy: 70.31
Epoch: [3/150], Step [200/469], Loss: 20112.2930,  Classification Accuracy: 71.88
Epoch: [3/150], Step [300/469], Loss: 18920.0703,  Classification Accuracy: 68.75
Epoch: [3/150], Step [400/469], Loss: 20510.6992,  Classification Accuracy: 52.34
Epoch: [4/150], Step [100/469], Loss: 19086.1621,  Classification Accuracy: 68.75
Epoch: [4/150], Step [200/469], Loss: 18019.9434,  Classification Accuracy: 73.44
Epoch: [4/150], Step [300/469], Loss: 18171.2773,  Classification Accuracy: 72.66
Epoch: [4/150], Step [400/469], Loss: 18141.5117,  Classification Accuracy: 68.75
Epoch: [5/150], Step [100/469], Loss: 17869.5820,  Classification Accuracy: 61.72
Epoch: [5/150], Step [200/469], Loss: 16687.7207,  Classification Accuracy: 69.53
Epoch: [5/150], Step [300/469], Loss: 16634.8438,  Classification Accuracy: 74.22
Epoch: [5/150], Step [400/469], Loss: 15845.1055,  Classification Accuracy: 74.22
Epoch: [6/150], Step [100/469], Loss: 16425.0430,  Classification Accuracy: 69.53
Epoch: [6/150], Step [200/469], Loss: 15929.7217,  Classification Accuracy: 72.66
Epoch: [6/150], Step [300/469], Loss: 15993.4092,  Classification Accuracy: 69.53
Epoch: [6/150], Step [400/469], Loss: 14877.5049,  Classification Accuracy: 76.56
Epoch: [7/150], Step [100/469], Loss: 15417.8066,  Classification Accuracy: 70.31
Epoch: [7/150], Step [200/469], Loss: 14067.3799,  Classification Accuracy: 72.66
Epoch: [7/150], Step [300/469], Loss: 14665.2930,  Classification Accuracy: 71.88
Epoch: [7/150], Step [400/469], Loss: 15710.0801,  Classification Accuracy: 67.97
Epoch: [8/150], Step [100/469], Loss: 15119.9648,  Classification Accuracy: 71.88
Epoch: [8/150], Step [200/469], Loss: 14938.9307,  Classification Accuracy: 71.09
Epoch: [8/150], Step [300/469], Loss: 15207.0234,  Classification Accuracy: 71.09
Epoch: [8/150], Step [400/469], Loss: 14295.2012,  Classification Accuracy: 76.56
Epoch: [9/150], Step [100/469], Loss: 14180.2939,  Classification Accuracy: 71.88
Epoch: [9/150], Step [200/469], Loss: 15569.3477,  Classification Accuracy: 64.06
Epoch: [9/150], Step [300/469], Loss: 14536.7715,  Classification Accuracy: 74.22
Epoch: [9/150], Step [400/469], Loss: 13610.8232,  Classification Accuracy: 74.22
Epoch: [10/150], Step [100/469], Loss: 14129.5322,  Classification Accuracy: 72.66
Epoch: [10/150], Step [200/469], Loss: 14485.5479,  Classification Accuracy: 72.66
Epoch: [10/150], Step [300/469], Loss: 13608.4980,  Classification Accuracy: 70.31
Epoch: [10/150], Step [400/469], Loss: 13330.1357,  Classification Accuracy: 72.66
